text	date	name
ger000229	1928	Beffel
ger000229	1928	Frau Bernkopf
ger000229	1928	Musmanno
ger000229	1928	Sträfling
ger000229	1928	Madeiros
ger000229	1928	Sekretär
ger000229	1928	Fuller
ger000229	1928	Luigia
ger000229	1928	Italienischer Arbeiter
ger000229	1928	Amerikanischer Arbeiter
ger000229	1928	Aufseher 
ger000229	1928	Gefängnisdirektor
ger000229	1928	Frau
ger000229	1928	Hendry
ger000229	1928	Journalist 
ger000229	1928	Geistlicher
ger000229	1928	Sheriff
ger000158	1827	Biörn
ger000158	1827	Soldat 
ger000158	1827	Berdoa
ger000158	1827	Usbek
ger000158	1827	Irnak
ger000158	1827	Rossan
ger000158	1827	Holm
ger000158	1827	Erik
ger000158	1827	Gothland
ger000158	1827	Rolf
ger000158	1827	Cäcilia
ger000158	1827	Arboga
ger000158	1827	Kanzler
ger000158	1827	König
ger000158	1827	Skiold
ger000158	1827	Gustav
ger000158	1827	Herold
ger000158	1827	Unteroffizier
ger000158	1827	Tocke
ger000504	1896	Gilgenessig
ger000504	1896	Hans von Lichtenstein
ger000504	1896	Heinz von Stein
ger000504	1896	Wolf von Hanstein
ger000504	1896	Hans von Grumbach
ger000504	1896	Wolf von Kastell
ger000504	1896	Lorenz von Hutten
ger000504	1896	Sebastian von Rotenhahn
ger000504	1896	Bischof Konrad
ger000504	1896	Kunz von der Mühlen
ger000504	1896	Sebastian von Geyer
ger000504	1896	Markgraf Friedrich
ger000504	1896	Rektor Besenmeyer
ger000504	1896	Löffelholz
ger000504	1896	Menzingen
ger000504	1896	Martin
ger000504	1896	Kunzlin
ger000504	1896	Finkenmäuslin
ger000504	1896	Wilhelm von Grumbach
ger000504	1896	Bubenleben
ger000504	1896	Tellermann
ger000504	1896	Domherr 
ger000504	1896	Sartorius
ger000504	1896	Lichtenstein
ger000504	1896	Florian Geyer
ger000504	1896	Kohl
ger000504	1896	Flammenbecker
ger000504	1896	Götz von Berlichingen
ger000504	1896	Link
ger000504	1896	Hippler
ger000504	1896	Trabant
ger000504	1896	Metzler
ger000504	1896	Zwischenruf
ger000504	1896	Kratzer
ger000504	1896	Schäferhans
ger000504	1896	Entlaufener Mönch
ger000504	1896	Hausierer
ger000504	1896	Kilian
ger000504	1896	Jörg Kumpf
ger000504	1896	Feistle
ger000504	1896	Karlstatt
ger000504	1896	Marei
ger000504	1896	Jöslein
ger000504	1896	Christheinz
ger000504	1896	Jos Frankenheim
ger000504	1896	Goppolt
ger000504	1896	Töppelin
ger000504	1896	Ochsenhans
ger000504	1896	Barchart
ger000504	1896	Beheim
ger000504	1896	Kunrat
ger000504	1896	Kläuslin
ger000504	1896	Frau Grumbach
ger000504	1896	Peter
ger000504	1896	Ursel
ger000504	1896	Hartheim
ger000504	1896	Gegenruf
ger000504	1896	Schertlin
ger000465	1832	Danilow
ger000465	1832	Aaron
ger000465	1832	Peter
ger000465	1832	Theophanes
ger000465	1832	Jaguschinsky
ger000465	1832	Menzikof
ger000465	1832	Schaphirow
